Date,JPM,USB,WFC,CMA,C,BAC
12/02/1998,0.5429881,0.3663301,0.3485727,-0.0975868,-1.9531685,-0.9523866
12/03/1998,0.5398456,0.2153137,0.9614167,0.3831902,0.606379,0.4046382
12/04/1998,-0.0665217,0.2172214,0.0750537,-0.1363283,-0.1493465,-0.1936288
12/07/1998,0.3990895,0.3581825,0.6088515,0.4474223,0.509013,0.4361619
12/08/1998,0.5298985,0.5481666,0.2669496,0.2824983,0.1587928,0.3976859
12/09/1998,0.1767381,0.3779042,0.15126,0.218618,0.2567913,0.9062302
12/10/1998,2.0897777,1.0638296,-0.2974604,0.7901604,0.2914832,2.2482831
12/11/1998,-0.8907308,-2.146523,-1.6540248,-1.5186478,-2.1304905,-2.587674
14/12/1998,0.0999958,0.0758287,-0.0507034,0.0379788,0.3397715,0.7524411
15/12/1998,0.3553208,0.2371018,0.9190805,0.2662438,0.584184,0.9491751
16/12/1998,-0.1458726,0.0240412,-0.1793583,-0.2967533,-0.1256224,-0.1535159
17/12/1998,-0.4682428,-0.2731085,-0.2556851,-0.3488289,-0.3791781,-0.4913585
18/12/1998,-0.6744206,-0.2632029,-0.0341834,-0.2244434,-0.4885311,-1.4205825
21/12/1998,-0.8991955,-1.9478354,-1.3788329,-0.7978513,-1.0521688,-1.1136595
22/12/1998,-0.1577328,-0.161603,-0.2906685,-0.9094176,-0.6711811,-0.2930936
23/12/1998,-0.2273453,-0.1223231,-0.199845,0.3950091,0.2286265,-0.025197
24/12/1998,-0.4247161,-0.3730446,-0.36047,0.1744596,-0.2802016,-0.2611915
28/12/1998,-0.6832423,-0.2823569,-0.200367,-0.0726061,-0.2891389,0.0633844
29/12/1998,-0.3277677,0.3449132,0.4516867,0.2083518,-0.0927315,-0.1731878
30/12/1998,-0.3637106,-0.2163388,-0.0945933,0.300521,-0.8688166,0.13001
31/12/1998,1.136175,0.0838314,0.2503306,0.5929015,0,0.4289292
01/04/1999,-0.2377091,-0.3861909,-0.1770079,-0.4096245,-0.2118644,-0.2570856
01/05/1999,0.4761412,0.4380787,0.9300029,0.2864176,0.1380567,0.1373043
01/06/1999,0.2123702,0.2265811,0.2455261,0.250922,0.2191709,0.2164727
01/07/1999,0.102914,0,0,0.1693212,0.1436009,0.1535159
01/08/1999,0.1983892,0.2470241,-0.0382318,0.3068294,0.8356292,0.2176936
01/11/1999,1.6821109,1.4290397,1.4417061,2.1352912,2.060685,3.3900257
01/12/1999,-0.4378351,-0.3529807,-0.2289481,0.2480835,-0.2053447,-0.4025708
13/01/1999,0.524762,0.6909974,0.9518601,0.4018255,0.7557974,0.7714532
14/01/1999,-0.0472075,-0.1354947,-0.3351656,-0.1599506,0.1236059,0.0831153
15/01/1999,0.3342653,0.1786618,0.36047,0.1093834,0.441118,0.5239686
19/01/1999,0.3952179,0.4016159,0.0606699,0.4423489,0.2612637,0.5237356
20/01/1999,0.5256274,0.4710649,-0.335037,0.0970974,-0.4345069,0.2165901
21/01/1999,-0.9981649,-0.2152724,-0.8424202,-1.2328337,-0.5573906,-1.2897049
22/01/1999,-0.6749627,-1.1429479,-0.8083083,-0.3468325,-0.6503044,-0.6880792
25/01/1999,-1.2314624,-0.2453598,-0.6223491,-0.193035,-1.9231763,-1.8338092
26/01/1999,-0.1372779,-0.091843,-0.1176026,-0.6721839,-0.0256084,-0.0914542
27/01/1999,-0.2363783,0.0101912,-0.3956599,0.0988948,-0.1302224,-0.2118608
28/01/1999,-0.3145262,-0.144324,-0.161018,-0.268166,-0.3953912,-0.5123735
29/01/1999,-0.0171677,0,0.1476386,0.1061609,0.062971,0.0307671
02/01/1999,-0.1168121,0.1567359,0.1020047,0.4784818,-0.5150035,-0.5960414
02/02/1999,-0.5330031,0.3499254,-0.6943776,0.6218383,1.5210275,0.1451806
